bucket,date,mru_f0,mru_f1,mru_f2,mru_f3,mru_f4,mru_f5,mru_f6,mru_f7,mru_f8,mru_f9,actual
Bucket_A,2020-11-27,-0.4986678978234703,0.09262296753565241,-0.31175828827394053,-0.16049757097283732,-0.3779560908762395,0.002871656349732575,-0.5258711691146832,-0.19738499788718392,0.8573985361040615,0.5982344543821827,0.003551983606685516
Bucket_A,2020-11-30,0.522267570035092,0.6759073958347184,0.4342634158823915,0.5712239719805512,0.4978509319417553,0.6003924431081535,0.4681559234575883,0.6352112261628489,0.7377080206706154,0.6362141711430844,0.003826126000784136
Bucket_A,2020-12-01,0.6452671887960512,0.7129069542696038,0.6424540362926209,0.7063912923515758,0.6764278278830256,0.6357165284461246,0.6758644356697059,0.6368533729474224,0.4728922098590916,0.9554548761769369,-0.006318061649036144
Bucket_A,2020-12-02,0.7763574989690212,0.889058869487452,0.8594856365234249,0.755528303374877,0.8512614559046362,0.8758602603753098,0.7725973889749629,0.7494942478497731,0.9679921124096824,0.6759681010764775,-0.022550244118339724
Bucket_A,2020-12-03,0.9780137467700702,0.9437838709091769,0.9997790545568845,0.9625122266323701,0.9861668061805157,0.9569809155625731,0.9883107151962186,0.9523373113008855,0.9863599803202568,0.9781923784914914,-0.01635915816709288
Bucket_A,2020-12-04,0.5248768424079695,0.5033170409389716,0.4974583135226581,0.5211466193814208,0.47698064272563495,0.5665805190936364,0.4032359448758183,0.7369286240747536,0.9433275359985184,0.589088900062497,-0.008732634226391256
Bucket_A,2020-12-07,0.20505212835397116,0.26328332958375383,0.19790606763418234,0.2647082894151539,0.19449724715931485,0.8712679364516478,0.2548717675061131,0.9873248140471791,0.887543033494806,0.7950444644214288,-0.006537229315291659
Bucket_A,2020-12-08,-0.19743650986973713,-0.1977529388557768,-0.19456291996442404,-0.19706727345195268,0.2915122877078907,-0.2053422601779191,0.28702061664159156,0.4788108401675946,0.47316760005094144,-0.20560958296173246,-0.0016622250649609427
Bucket_A,2020-12-09,-0.29552837075221094,-0.28020102580552847,-0.27529722732898226,-0.292095940101954,-0.07863454607824677,-0.14231745124240722,0.3457524092493146,0.07576339559233597,0.793163043138871,0.1649378245878497,0.015772238964755214
Bucket_A,2020-12-10,0.8736533695566877,0.3518819436974393,0.9061652191855081,0.36198135704322487,0.6588975877770422,0.5745835353508894,0.4796687057672875,0.9589901185171317,0.3008774883620364,0.5301791477150576,0.011394683326262811
Bucket_A,2020-12-11,0.9480332284184594,0.5218250569440512,0.9653431894600668,0.4362404244563767,0.6486625238646716,0.5508164135354944,0.444996597433543,0.5176270621723391,0.6463194902524695,0.9810263788082336,0.008613896691825662
Bucket_A,2020-12-14,-0.007748083375320771,-0.051845449520642566,0.222741061703151,0.17106902127125204,0.37635081486732536,-0.0748311694818613,0.04005842963612695,0.49960279397197455,0.062461898445109146,-0.12919224519845957,0.0074874787319128
Bucket_A,2020-12-15,0.15636759041974324,0.16988648577202933,0.5663405451382886,0.46826898734586736,0.4397954087721217,0.08365838310667499,0.2149709710425543,0.5246516348907139,0.22034346391138,0.00955022202267658,0.012733184609101333
Bucket_A,2020-12-16,-0.9821000936596643,-0.9811706789391718,0.9749474913352685,0.3949937496225863,0.4117019729307973,-0.9821386913679787,-0.40554663315798156,0.9982280485025486,-0.3981233687618778,-0.9811296181128952,-0.0007247777577299441
Bucket_A,2020-12-17,0.9194886925679078,0.8624471715200899,0.8253762954412442,0.8414020306496722,0.9536408931706326,0.9233686273316656,0.9099946290563338,0.9733330825146169,0.8728632739111152,0.8522494348503228,0.0030740985883460636
Bucket_A,2020-12-18,0.9955630054575452,0.9962481584026704,0.9954287661705903,0.995087288948106,0.9981198838118956,0.9953508384913374,0.9961313071744348,0.9939716364897182,0.9954667505862567,0.9982554643284928,0.012465113379638071
Bucket_A,2020-12-21,0.9977664931500655,0.9946215853651175,0.9946566635146119,0.9999167367416255,0.9941170648860428,0.9972305145754397,0.9977275853866556,0.9987626760506232,0.9940573853955321,0.9972940754632877,0.0021437433347961665
Bucket_A,2020-12-22,0.9291290300532418,0.8710897741486245,0.9291864854397981,0.8703917513537063,0.8199793068021152,0.8712377790348905,0.8711308704253072,0.7748801065647564,0.8711827325239474,0.8199402591673859,-0.007859700316238172
Bucket_A,2020-12-23,0.9324478513724983,0.9422598943900665,0.8967049220547172,0.930263015574577,0.9434482841141989,0.9318158660307637,0.9439148256576617,0.9309404839070415,0.9299428328824342,0.9836980237453503,-0.0040930353179808865
Bucket_A,2020-12-24,0.865308064053826,0.8660440889983806,0.8663241966833191,0.9978028629869441,0.8281098776157009,0.8274090908117119,0.8650839159900182,0.723878007285931,0.8283434042468187,0.827120225083754,-0.00533838153676891
Bucket_A,2020-12-28,-0.06711655531615093,0.5377068057895208,-0.14522406630229867,0.06469274355183918,0.7499474647522099,-0.040645952795232074,0.01590140202727996,0.7064254014781289,0.06960075909208585,0.3124213984300863,-0.009501565814748258
Bucket_A,2020-12-29,-0.33588283612619896,0.7233737724760902,-0.36190080014785336,-0.28190360955229227,0.931721083238242,-0.2933752776277686,-0.2772633702355318,0.7792067432503075,-0.2583390955333759,0.263010334408264,-0.04471895106770496
Bucket_A,2020-12-30,-0.21880377740290463,0.4833436555848274,-0.2142106943465093,0.19791892675335615,0.5454291965953094,-0.256064125925093,-0.2600619029626022,0.9034718595000253,-0.12569521419800952,-0.09166389086779117,-0.02165476239978048
Bucket_A,2020-12-31,0.1047768822923479,0.39403338889484935,0.2545943776994159,0.060333368171485206,0.5670598640185538,-0.32281814673415665,-0.31577407331034785,0.7946378202417232,-0.35730928415468366,-0.09254853102909653,-0.016629083148111734
Bucket_A,2021-01-04,0.550985547485081,0.7918216925949197,0.5625728162127415,0.6392623465452328,0.8796226766779532,0.49509634816735143,0.49146754100650314,0.8833245551306954,0.44767726303174815,0.3412185278841458,-0.017390519839532992
Bucket_A,2021-01-05,0.8600119770023463,0.9052151768211115,0.10944201172335544,0.8789221724438744,0.07781032561430798,0.10788454955629406,0.09528320235689912,0.9371341596860502,0.0969253941921072,0.07617711002137999,-0.0284706881925203
Bucket_A,2021-01-06,-0.042912540875590086,-0.041387323271672376,-0.02957740997507927,-0.07935324778620517,-0.031725589946102056,0.06788244837860688,0.8533544182360674,-0.08071914798120311,0.033310174872576204,0.03902522810003393,0.014603558475411171
Bucket_A,2021-01-07,0.7734152186340306,0.7894617797005853,-0.5809161661638441,0.8110367099008251,-0.5735472515079613,-0.6975638100843785,-0.6822297775762073,0.8281077803217454,-0.563812756906103,-0.6909431545464894,-0.01688166993760898
Bucket_A,2021-01-08,0.15243787117005547,0.2750944274653704,0.19526149003388135,0.11741567887923979,0.3677622410780055,-0.0032726665476695282,0.015131678057417546,0.3161195260873933,0.1458917760108433,-0.06738605391351601,-0.017726609524059023
Bucket_A,2021-01-11,0.763294685103351,0.767636203427283,0.8657923371480019,0.9847847233037095,0.865875202632298,0.871503932000933,0.8654653134536748,0.9932698021980569,0.8716382952693751,0.8713514899099352,-0.006025468618475305
Bucket_A,2021-01-12,0.42677285520564545,0.4335709737625446,0.4325615308901645,0.5318005267487229,0.4158370714803653,0.4256422018509271,0.43416612028899837,0.43997691844495884,0.44409951750936905,0.433008317070147,0.02108545306020826
Bucket_A,2021-01-13,-0.743097253328296,-0.6706204605814706,-0.7565252892941188,-0.6421128386834524,-0.49082923046078586,0.34484049293637964,0.5503392910284278,-0.5099198364440639,-0.3875265104569268,0.30697748050394685,0.03559563765270202
Bucket_A,2021-01-14,0.9472636175234996,0.927167049990155,0.9324505638353632,0.8838586523335851,0.9473013289972849,0.9284739519488403,0.950648513769788,0.9323987995487948,0.9270807071103996,0.9446217755710112,0.053615652583854034
Bucket_A,2021-01-15,0.0431809465932948,0.2023543157135781,0.03289242131838488,0.9555812341694307,0.043092566235275784,0.0391667024399141,0.2065888494836167,0.032809106136366374,0.20209567311891122,0.02834202743155309,0.06098338090409494
Bucket_A,2021-01-19,-0.4855481272879916,-0.2100361199564186,-0.4246061139702415,-0.03944812170600437,-0.300340275406235,-0.38824531793787365,-0.06168597425652901,-0.21826359075778787,0.07152981026772387,-0.31618630459866764,0.053329734903865944
Bucket_A,2021-01-20,0.75647841572496,0.4398932425324075,0.29292190702450416,0.4226806327124492,0.6127747805212715,0.471982233101521,0.37408247485172696,0.46306685549301,0.7381090807918608,0.5804915614518991,0.029173050276987467
Bucket_A,2021-01-21,0.022805917368570128,0.025728253304932416,0.640972178107104,0.9906218405839908,0.12839525990022382,0.6361320792851899,0.4915089412295336,0.10851133444966901,0.7026643289818754,0.12705970808970973,0.003489195762814812
Bucket_A,2021-01-22,0.813791624897735,0.8270353178941818,0.9363751118405891,0.9709454351968408,0.8840672149692967,0.9217510476372033,0.8586730304413148,0.8012216734804486,0.8456915685933355,0.8722548121215479,0.0002019943055980855
Bucket_A,2021-01-25,-0.23801369918042614,-0.23832607052472465,0.5407621633819717,0.9996832389796781,-0.23801135773657683,0.5404465542285956,0.5406072578717563,-0.12893462927998053,0.9997537226488643,-0.23832365404789113,0.006301605307322156
Bucket_A,2021-01-26,-0.2106514618106068,-0.1307729305081191,0.9916238676405215,0.8366408798143458,-0.09734765646663658,0.829951468114636,0.7647536129897288,-0.12738719411522775,0.770758211014659,-0.0905313156171714,0.002395303259015158
Bucket_A,2021-01-27,0.9260055365910909,0.9489808597583347,0.9068031581564514,0.9448514934633774,0.8985308360498043,0.9256619148960565,0.9176014530324544,0.8860957413754861,0.8991260068670648,0.9233671290454821,0.012019043662261808
Bucket_A,2021-01-28,-0.4989506354494524,-0.5096610328661795,-0.5072901944059391,0.31605538745610057,0.8597495583682163,-0.4997801143771411,-0.025625458169902252,0.02826549766157553,-0.2114080137417513,0.37632123722784866,0.01539292061962616
Bucket_A,2021-01-29,0.10269649048758438,0.036612921501551765,0.12562646915667633,0.33736314830750164,0.10540196849189504,0.059776350006040924,0.11006464283789211,0.1543801219661984,0.28416879012747687,0.12104467042995859,0.011149587545500772
Bucket_A,2021-02-01,0.15766643649121204,0.7543352419914555,0.4589155205875144,0.1432713354742,0.5757536981867039,0.44845380639617,0.1416519926300307,0.18455254554557352,0.19764793006232306,0.25253631653018893,0.007509114810993811
Bucket_A,2021-02-02,-0.72981410891097,-0.6912366411795057,-0.6911993617422373,0.4578182810710215,0.9999267890237288,-0.7297750687526149,0.6039291124862249,-0.45519103488023555,0.17989105284161494,-0.3003799435569531,0.00528957858940915
Bucket_A,2021-02-03,0.09089028870587726,0.14340972798848042,0.007033139644471942,0.3688014424021442,0.06093759176499372,0.478311117991893,0.177578492094406,0.5050509222852643,0.6733757862615772,0.2128451015435239,0.005170678406376972
Bucket_A,2021-02-04,-0.5568334768637184,-0.5245905906890675,-0.5195509319005784,0.23395504184203544,-0.5545208058358018,0.27088545551709425,0.8416493841972095,0.26792132738324814,0.9374290952856561,-0.5230470771206248,0.015679292666024303
Bucket_A,2021-02-05,-0.5797172108409836,-0.8839285082362117,0.9485882316874122,-0.6021003576865733,0.6283608775365427,0.5323403075905859,-0.8877992578894847,-0.5697738012539226,0.8330045217542477,-0.6088162348766715,0.011840385519346075
Bucket_A,2021-02-08,0.2743228272114405,0.22709963530614635,0.10311593652075512,0.32803639010768526,0.15542530920335276,0.5686672543281567,0.4214633378643639,0.35853124002788184,0.6750732040014165,0.2946419103505714,0.009683921916517457
Bucket_A,2021-02-09,0.014727806091266189,-0.14648123388986076,-0.16656684840086416,0.6136165097335726,0.005039638382467425,0.6327700500028443,0.9553753657551404,0.6137039321314703,0.9998140997253987,0.014775537182993008,0.0038273731798004196
Bucket_A,2021-02-10,0.9764186013174404,0.9800431327878939,-0.14014484288454104,-0.1378018126566327,-0.6096913148579539,-0.23221955683138795,-0.6087617316125694,-0.23115260646549518,-0.13242878594603408,-0.6036923515448709,-0.003438963594086686
